Kode	Tekst
B	Behandlings- og plejeklassifikation
BA	Nervesystemet
BAB	Anvendelse af perkutan adgang til nervesystemet
BABD	Kateteranvendelse ved regionalanæstesi
BABZ	Delprocedure med relation til perkutan adgang til nervesystemet
BABZ0	Anlæggelse af kateter til regionalanæstesi
BABZ00	Anlæggelse af epiduralkateter
BABZ00A	Anlæggelse af tunnelleret epiduralkateter
BABZ01	Anlæggelse af spinalkateter
BABZ1	Fjernelse af kateter til regionalanæstesi
BABZ10	Fjernelse af epiduralkateter
BAF	Nervestimulation, blokade og smertebehandling
BAFA	Specielle indgreb i neurologiske funktioner
BAFA0	Behandling med nervestimulation
BAFA00	Stimulatio radicis spinalis nervi sacralis
BAFA08	Vagus nervestimulation
BAFA4	Behandling med ganglieblokade
BAFA40	Behandling med blokade af ganglion stellatum
BAFA41	Behandling med blokade af ganglion coeliaca
BAFA5	Behandling med blokade af truncus sympaticus
BAFA50	Behandling med blokade af truncus sympaticus thoracalis
BAFA51	Behandling med blokade af truncus sympaticus lumbalis
BAFA6	Smertebehandling med blokade
BAFA7	Smertebehandling med infiltrationsanæstesi
BAFA8	Smertebehandling ikke klassificeret andetsteds
BAFA80	Smertebehandling med akupunktur
BAFA81	Smertebehandling med inhalationsanalgesi
BAFA82	Smertebehandling med fysioterapi
BAFA83	Smertebehandling med zoneterapi
BAFA84	Smertebehandling med kiropraktik
BAFA85	Smertebehandling med laser
BAFA86	Smertebehandling med biofeedback
BAFA87	Smertebehandling med sterilvandspapler
BAFA88	Smertebehandling via smertepumpe
BAH	Medikamentel behandling med relation til nervesystemet
BAHY	Medikamentel behandling med relation til nervesystemet ikke klassificeret andetsteds
BAHY0	Behandling med stærkt analgetikum
BAHY1	Behandling med svagt analgetikum
BAHY11	Behandling med svagt virkende opioidt analgetikum
BAHY12	Behandling med svagt virkende non-opioidt analgetikum
BAHY12A	Behandling med NSAID-præparat
BAHY12AA	Behandling med acetylsalicylsyre og derivater
BAHY12AB	Behandling med andre NSAID præparater (ekskl coxib)
BAHY12AC	Behandling med cox-2 hæmmere (coxib)
BAHY12B	Behandling med andet svagt virkende non-opioidt analgetikum
BAHY2	Behandling med migrænemiddel
BAHY3	Behandling med antiepileptikum
BAHY30	Behandling med barbiturater og derivater
BAHY30A	Behandling med methylphenobarbital
BAHY30B	Behandling med (PB) phenobarbital
BAHY30C	Behandling med (PRM) primidon
BAHY30D	Behandling med barbexaclon
BAHY30E	Behandling med metharbital
BAHY31	Behandling med hydantoin-derivater
BAHY31A	Behandling med ethotoin
