"variable" "ht.code" "age_adult" "count_n_" "n_denom" "rate_strat" "year" "aggr_level"
"prevalence" 1 "18+" 4666 4193930 111.256029547465 2004 "age"
"prevalence" 2 "18+" 3590 4193930 85.5999027165451 2004 "age"
"prevalence" 3 "18+" 1884 4193930 44.9220659381535 2004 "age"
"prevalence" 4 "18+" 9148 4193930 218.124766030907 2004 "age"
"prevalence" 1 "<18" 7252 1197921 605.382157921933 2004 "age"
"prevalence" 2 "<18" 3839 1197921 320.471884206054 2004 "age"
"prevalence" 3 "<18" 1881 1197921 157.022040685488 2004 "age"
"prevalence" 4 "<18" 11818 1197921 986.542518246195 2004 "age"
"incidence" 1 "18+" 10 2141419 0.466980072559364 2004 "age"
"incidence" 2 "18+" 13 4193930 0.309971792566876 2004 "age"
"incidence" 3 "18+" NA 4193930 NA 2004 "age"
"incidence" 4 "18+" 27 4193930 0.643787569177359 2004 "age"
"incidence" 1 "<18" 598 1197921 49.9198194204793 2004 "age"
"incidence" 2 "<18" 271 1197921 22.6225268611202 2004 "age"
"incidence" 3 "<18" 160 1197921 13.3564734235396 2004 "age"
"incidence" 4 "<18" 978 1197921 81.6414438013859 2004 "age"
"opr" 1 "18+" 67 4193930 1.59754693092159 2004 "age"
"opr" 2 "18+" 97 4193930 2.31286645222977 2004 "age"
"opr" 3 "18+" 108 4193930 2.57515027670943 2004 "age"
"opr" 4 "18+" 272 4193930 6.4855636598608 2004 "age"
"opr" 1 "<18" 100 1197921 8.34779588971226 2004 "age"
"opr" 2 "<18" 89 1197921 7.42953834184391 2004 "age"
"opr" 3 "<18" 308 1197921 25.7112113403138 2004 "age"
"opr" 4 "<18" 497 1197921 41.4885455718699 2004 "age"
"opr_patients" 1 "18+" 62 4193930 1.47832701070356 2004 "age"
"opr_patients" 2 "18+" 84 4193930 2.00289465966289 2004 "age"
"opr_patients" 3 "18+" 83 4193930 1.97905067561929 2004 "age"
"opr_patients" 4 "18+" 229 4193930 5.46027234598575 2004 "age"
"opr_patients" 1 "<18" 97 1197921 8.09736201302089 2004 "age"
"opr_patients" 2 "<18" 75 1197921 6.26084691728419 2004 "age"
"opr_patients" 3 "<18" 235 1197921 19.6173203408238 2004 "age"
"opr_patients" 4 "<18" 407 1197921 33.9755292711289 2004 "age"
"prevalence" 1 "18+" 5007 4201869 119.161258954051 2005 "age"
"prevalence" 2 "18+" 3760 4201869 89.4839891486384 2005 "age"
"prevalence" 3 "18+" 1986 4201869 47.2646815024457 2005 "age"
"prevalence" 4 "18+" 9699 4201869 230.825853923575 2005 "age"
"prevalence" 1 "<18" 7583 1204720 629.440865927352 2005 "age"
"prevalence" 2 "<18" 3977 1204720 330.118201739823 2005 "age"
"prevalence" 3 "<18" 1936 1204720 160.701241782323 2005 "age"
"prevalence" 4 "<18" 12299 1204720 1020.90112225247 2005 "age"
"incidence" 1 "18+" 18 4201869 0.428380799115822 2005 "age"
"incidence" 2 "18+" 17 4201869 0.40458186583161 2005 "age"
"incidence" 3 "18+" NA 4201869 NA 2005 "age"
"incidence" 4 "18+" 42 4201869 0.999555197936918 2005 "age"
"incidence" 1 "<18" 645 1204720 53.5394116475198 2005 "age"
"incidence" 2 "<18" 318 1204720 26.3961750448237 2005 "age"
"incidence" 3 "<18" 179 1204720 14.8582243176838 2005 "age"
"incidence" 4 "<18" 1081 1204720 89.7303937844478 2005 "age"
"opr" 1 "18+" 84 4201869 1.99911039587384 2005 "age"
"opr" 2 "18+" 94 4201869 2.23709972871596 2005 "age"
"opr" 3 "18+" 88 4201869 2.09430612901069 2005 "age"
"opr" 4 "18+" 266 4201869 6.33051625360048 2005 "age"
"opr" 1 "<18" 84 1204720 6.97257454014211 2005 "age"
"opr" 2 "<18" 126 1204720 10.4588618102132 2005 "age"
"opr" 3 "<18" 264 1204720 21.9138056975895 2005 "age"
"opr" 4 "<18" 474 1204720 39.3452420479448 2005 "age"
"opr_patients" 1 "18+" 74 4201869 1.76112106303171 2005 "age"
"opr_patients" 2 "18+" 86 4201869 2.04670826244226 2005 "age"
"opr_patients" 3 "18+" 61 4201869 1.45173493033695 2005 "age"
"opr_patients" 4 "18+" 221 4201869 5.25956425581093 2005 "age"
"opr_patients" 1 "<18" 80 1204720 6.64054718108772 2005 "age"
"opr_patients" 2 "<18" 92 1204720 7.63662925825088 2005 "age"
"opr_patients" 3 "<18" 199 1204720 16.5183611129557 2005 "age"
"opr_patients" 4 "<18" 371 1204720 30.7955375522943 2005 "age"
"prevalence" 1 "18+" 5369 4213410 127.426478790338 2006 "age"
"prevalence" 2 "18+" 3955 4213410 93.8669628638087 2006 "age"
"prevalence" 3 "18+" 2091 4213410 49.6272615292601 2006 "age"
"prevalence" 4 "18+" 10273 4213410 243.816765992391 2006 "age"
"prevalence" 1 "<18" 7925 1209894 655.016059258084 2006 "age"
"prevalence" 2 "<18" 4161 1209894 343.914425561248 2006 "age"
"prevalence" 3 "<18" 2011 1209894 166.212907907635 2006 "age"
"prevalence" 4 "<18" 12865 1209894 1063.31629051801 2006 "age"
"incidence" 1 "18+" 11 4213410 0.261071198862679 2006 "age"
"incidence" 2 "18+" 33 4213410 0.783213596588037 2006 "age"
"incidence" 3 "18+" 10 4213410 0.237337453511526 2006 "age"
"incidence" 4 "18+" 53 4213410 1.25788850361109 2006 "age"
"incidence" 1 "<18" 585 1209894 48.3513431755179 2006 "age"
"incidence" 2 "<18" 293 1209894 24.216997522097 2006 "age"
"incidence" 3 "<18" 151 1209894 12.4804321700909 2006 "age"
"incidence" 4 "<18" 977 1209894 80.7508756965486 2006 "age"
"opr" 1 "18+" 101 4213410 2.39710828046642 2006 "age"
"opr" 2 "18+" 121 4213410 2.87178318748947 2006 "age"
"opr" 3 "18+" 96 4213410 2.27843955371065 2006 "age"
"opr" 4 "18+" 318 4213410 7.54733102166654 2006 "age"
"opr" 1 "<18" 90 1209894 7.4386681808489 2006 "age"
"opr" 2 "<18" 111 1209894 9.17435742304698 2006 "age"
"opr" 3 "<18" 281 1209894 23.2251750979838 2006 "age"
"opr" 4 "<18" 482 1209894 39.8382007018797 2006 "age"
"opr_patients" 1 "18+" 89 4213410 2.11230333625258 2006 "age"
"opr_patients" 2 "18+" 100 4213410 2.37337453511526 2006 "age"
