"variable" "sex" "age_adult" "ht.code" "count_n_" "n_denom" "rate_strat" "year" "aggr_level"
"prevalence" "f" "18+" 1 2599 2141419 121.368120858179 2004 "age_sex"
"prevalence" "f" "18+" 2 1785 2141419 83.3559429518464 2004 "age_sex"
"prevalence" "f" "18+" 3 909 2141419 42.4484885956462 2004 "age_sex"
"prevalence" "f" "18+" 4 4744 2141419 221.535346422162 2004 "age_sex"
"prevalence" "f" "<18" 1 3809 583280 653.031134275134 2004 "age_sex"
"prevalence" "f" "<18" 2 1732 583280 296.941434645453 2004 "age_sex"
"prevalence" "f" "<18" 3 844 583280 144.698943903443 2004 "age_sex"
"prevalence" "f" "<18" 4 5833 583280 1000.03428884927 2004 "age_sex"
"prevalence" "m" "18+" 1 2067 2052511 100.705915827004 2004 "age_sex"
"prevalence" "m" "18+" 2 1805 2052511 87.941063409648 2004 "age_sex"
"prevalence" "m" "18+" 3 975 2052511 47.5027904844359 2004 "age_sex"
"prevalence" "m" "18+" 4 4404 2052511 214.56645055739 2004 "age_sex"
"prevalence" "m" "<18" 1 3443 614641 560.164388643127 2004 "age_sex"
"prevalence" "m" "<18" 2 2107 614641 342.801733044167 2004 "age_sex"
"prevalence" "m" "<18" 3 1037 614641 168.716372646797 2004 "age_sex"
"prevalence" "m" "<18" 4 5985 614641 973.739142035757 2004 "age_sex"
"incidence" "f" "18+" 1 10 2141419 0.466980072559364 2004 "age_sex"
"incidence" "f" "18+" 2 NA 2141419 NA 2004 "age_sex"
"incidence" "f" "18+" 3 NA 2141419 NA 2004 "age_sex"
"incidence" "f" "18+" 4 20 2141419 0.933960145118727 2004 "age_sex"
"incidence" "f" "<18" 1 326 583280 55.8908243039364 2004 "age_sex"
"incidence" "f" "<18" 2 127 583280 21.7734192840488 2004 "age_sex"
"incidence" "f" "<18" 3 78 583280 13.3726512138253 2004 "age_sex"
"incidence" "f" "<18" 4 507 583280 86.9222328898642 2004 "age_sex"
"incidence" "m" "18+" 2 NA 2052511 NA 2004 "age_sex"
"incidence" "m" "18+" 3 NA 2052511 NA 2004 "age_sex"
"incidence" "m" "18+" 4 NA 2052511 NA 2004 "age_sex"
"incidence" "m" "<18" 1 272 614641 44.2534747926025 2004 "age_sex"
"incidence" "m" "<18" 2 144 614641 23.428310184319 2004 "age_sex"
"incidence" "m" "<18" 3 82 614641 13.3411210771816 2004 "age_sex"
"incidence" "m" "<18" 4 471 614641 76.6300978945433 2004 "age_sex"
"opr" "f" "18+" 1 36 2141419 1.68112826121371 2004 "age_sex"
"opr" "f" "18+" 2 38 2141419 1.77452427572558 2004 "age_sex"
"opr" "f" "18+" 3 54 2141419 2.52169239182056 2004 "age_sex"
"opr" "f" "18+" 4 128 2141419 5.97734492875986 2004 "age_sex"
"opr" "f" "<18" 1 69 583280 11.8296529968454 2004 "age_sex"
"opr" "f" "<18" 2 29 583280 4.9718831436017 2004 "age_sex"
"opr" "f" "<18" 3 108 583280 18.5159786037581 2004 "age_sex"
"opr" "f" "<18" 4 206 583280 35.3175147442052 2004 "age_sex"
"opr" "m" "18+" 1 34 2052511 1.6565075656111 2004 "age_sex"
"opr" "m" "18+" 2 62 2052511 3.02069026670259 2004 "age_sex"
"opr" "m" "18+" 3 55 2052511 2.67964459142972 2004 "age_sex"
"opr" "m" "18+" 4 151 2052511 7.35684242374341 2004 "age_sex"
"opr" "m" "<18" 1 31 614641 5.04359455356867 2004 "age_sex"
"opr" "m" "<18" 2 60 614641 9.76179591013291 2004 "age_sex"
"opr" "m" "<18" 3 200 614641 32.539319700443 2004 "age_sex"
"opr" "m" "<18" 4 291 614641 47.3447101641446 2004 "age_sex"
"opr_patients" "f" "18+" 1 34 2141419 1.58773224670184 2004 "age_sex"
"opr_patients" "f" "18+" 2 36 2141419 1.68112826121371 2004 "age_sex"
"opr_patients" "f" "18+" 3 45 2141419 2.10141032651714 2004 "age_sex"
"opr_patients" "f" "18+" 4 115 2141419 5.37027083443268 2004 "age_sex"
"opr_patients" "f" "<18" 1 67 583280 11.4867645041832 2004 "age_sex"
"opr_patients" "f" "<18" 2 28 583280 4.80043889727061 2004 "age_sex"
"opr_patients" "f" "<18" 3 93 583280 15.9443149087917 2004 "age_sex"
"opr_patients" "f" "<18" 4 188 583280 32.2315183102455 2004 "age_sex"
"opr_patients" "m" "18+" 1 31 2052511 1.5103451333513 2004 "age_sex"
"opr_patients" "m" "18+" 2 51 2052511 2.48476134841665 2004 "age_sex"
"opr_patients" "m" "18+" 3 39 2052511 1.90011161937744 2004 "age_sex"
"opr_patients" "m" "18+" 4 121 2052511 5.89521810114538 2004 "age_sex"
"opr_patients" "m" "<18" 1 30 614641 4.88089795506645 2004 "age_sex"
"opr_patients" "m" "<18" 2 47 614641 7.64674012960411 2004 "age_sex"
"opr_patients" "m" "<18" 3 142 614641 23.1029169873145 2004 "age_sex"
"opr_patients" "m" "<18" 4 219 614641 35.6305550719851 2004 "age_sex"
"prevalence" "f" "18+" 1 2806 2144952 130.81877822907 2005 "age_sex"
"prevalence" "f" "18+" 2 1874 2144952 87.3679224523439 2005 "age_sex"
"prevalence" "f" "18+" 3 959 2144952 44.7096252037342 2005 "age_sex"
"prevalence" "f" "18+" 4 5048 2144952 235.343261760636 2005 "age_sex"
"prevalence" "f" "<18" 1 3986 586803 679.273964175371 2005 "age_sex"
"prevalence" "f" "<18" 2 1804 586803 307.428557795376 2005 "age_sex"
"prevalence" "f" "<18" 3 877 586803 149.453905314049 2005 "age_sex"
"prevalence" "f" "<18" 4 6094 586803 1038.50866474779 2005 "age_sex"
"prevalence" "m" "18+" 1 2201 2056917 107.004803791305 2005 "age_sex"
"prevalence" "m" "18+" 2 1886 2056917 91.690622421809 2005 "age_sex"
"prevalence" "m" "18+" 3 1027 2056917 49.9290929094368 2005 "age_sex"
"prevalence" "m" "18+" 4 4651 2056917 226.115103331831 2005 "age_sex"
"prevalence" "m" "<18" 1 3597 617917 582.117015715703 2005 "age_sex"
"prevalence" "m" "<18" 2 2173 617917 351.665353113768 2005 "age_sex"
"prevalence" "m" "<18" 3 1059 617917 171.382240656917 2005 "age_sex"
"prevalence" "m" "<18" 4 6205 617917 1004.18017306531 2005 "age_sex"
"incidence" "f" "18+" 1 10 2144952 0.46621089889191 2005 "age_sex"
"incidence" "f" "18+" 2 13 2144952 0.606074168559483 2005 "age_sex"
"incidence" "f" "18+" 3 NA 2144952 NA 2005 "age_sex"
