"variable" "ht.code" "count_n_" "n_denom" "rate_strat" "year" "aggr_level"
"prevalence" "c1" 14486 5391851 268.664694183871 2004 "totals"
"prevalence" "c2" 1681 5391851 31.1766775454292 2004 "totals"
"prevalence" "c3" 2692 5391851 49.9271956884565 2004 "totals"
"prevalence" "c4" 16746 5391851 310.579799033764 2004 "totals"
"incidence" "c1" 929 5391851 17.2297046042259 2004 "totals"
"incidence" "c2" 140 5391851 2.59651091990487 2004 "totals"
"incidence" "c3" 249 5391851 4.61808013611652 2004 "totals"
"incidence" "c4" 1128 5391851 20.920459411805 2004 "totals"
"prevalence" "c1" 15294 5406589 282.877059824596 2005 "totals"
"prevalence" "c2" 1787 5406589 33.0522627112954 2005 "totals"
"prevalence" "c3" 2870 5406589 53.0833765984431 2005 "totals"
"prevalence" "c4" 17686 5406589 327.119372306643 2005 "totals"
"incidence" "c1" 974 5406589 18.0150553334089 2005 "totals"
"incidence" "c2" 175 5406589 3.23679125600263 2005 "totals"
"incidence" "c3" 245 5406589 4.53150775840368 2005 "totals"
"incidence" "c4" 1197 5406589 22.139652191058 2005 "totals"
"prevalence" "c1" 16136 5423304 297.530804100231 2006 "totals"
"prevalence" "c2" 1935 5423304 35.6793570856437 2006 "totals"
"prevalence" "c3" 3064 5423304 56.4969251216602 2006 "totals"
"prevalence" "c4" 18707 5423304 344.93732971635 2006 "totals"
"incidence" "c1" 1058 5423304 19.5084029956646 2006 "totals"
"incidence" "c2" 171 5423304 3.15305946338247 2006 "totals"
"incidence" "c3" 261 5423304 4.81256444411008 2006 "totals"
"incidence" "c4" 1302 5423304 24.0075053878595 2006 "totals"
"prevalence" "c1" 17080 5447073 313.562898826581 2007 "totals"
"prevalence" "c2" 2067 5447073 37.9469854727484 2007 "totals"
"prevalence" "c3" 3274 5447073 60.1056751029406 2007 "totals"
"prevalence" "c4" 19832 5447073 364.085445522761 2007 "totals"
"incidence" "c1" 1047 5447073 19.2213322641353 2007 "totals"
"incidence" "c2" 170 5447073 3.12094220143552 2007 "totals"
"incidence" "c3" 206 5447073 3.78184760879834 2007 "totals"
"incidence" "c4" 1271 5447073 23.333632576615 2007 "totals"
"prevalence" "c1" 17960 5475679 327.9958522039 2008 "totals"
"prevalence" "c2" 2201 5475679 40.1959282127386 2008 "totals"
"prevalence" "c3" 3426 5475679 62.5675829426816 2008 "totals"
"prevalence" "c4" 20895 5475679 381.596510679315 2008 "totals"
"incidence" "c1" 1097 5475679 20.0340450928552 2008 "totals"
"incidence" "c2" 243 5475679 4.43780579540912 2008 "totals"
"incidence" "c3" 304 5475679 5.55182288808383 2008 "totals"
"incidence" "c4" 1402 5475679 25.6041305562287 2008 "totals"
"prevalence" "c1" 18925 5511243 343.388959623083 2009 "totals"
"prevalence" "c2" 2420 5511243 43.9102394868091 2009 "totals"
"prevalence" "c3" 3704 5511243 67.2080690327028 2009 "totals"
"prevalence" "c4" 22135 5511243 401.633533487818 2009 "totals"
"incidence" "c1" 1150 5511243 20.8664361197646 2009 "totals"
"incidence" "c2" 208 5511243 3.7741032286183 2009 "totals"
"incidence" "c3" 247 5511243 4.48174758398423 2009 "totals"
"incidence" "c4" 1431 5511243 25.9651044238115 2009 "totals"
"prevalence" "c1" 19932 5534629 360.132540049207 2010 "totals"
"prevalence" "c2" 2594 5534629 46.8685434922558 2010 "totals"
"prevalence" "c3" 3900 5534629 70.4654277639928 2010 "totals"
"prevalence" "c4" 23371 5534629 422.268592890327 2010 "totals"
"incidence" "c1" 1129 5534629 20.3988379347559 2010 "totals"
"incidence" "c2" 178 5534629 3.21611439538224 2010 "totals"
"incidence" "c3" 269 5534629 4.8603077098754 2010 "totals"
"incidence" "c4" 1403 5534629 25.3494859366364 2010 "totals"
"prevalence" "c1" 20889 5560511 375.666912627275 2011 "totals"
"prevalence" "c2" 2728 5560511 49.0602392477957 2011 "totals"
"prevalence" "c3" 4132 5560511 74.3097172184355 2011 "totals"
"prevalence" "c4" 24551 5560511 441.524169271493 2011 "totals"
"incidence" "c1" 1072 5560511 19.2788036926822 2011 "totals"
"incidence" "c2" 273 5560511 4.90962071651328 2011 "totals"
"incidence" "c3" 249 5560511 4.47800570846816 2011 "totals"
"incidence" "c4" 1421 5560511 25.555205268005 2011 "totals"
"prevalence" "c1" 21797 5580418 390.597980294666 2012 "totals"
"prevalence" "c2" 2972 5580418 53.2576591932719 2012 "totals"
"prevalence" "c3" 4317 5580418 77.359796345005 2012 "totals"
"prevalence" "c4" 25756 5580418 461.542486602258 2012 "totals"
"incidence" "c1" 1126 5580418 20.1776999500754 2012 "totals"
"incidence" "c2" 290 5580418 5.19674332639598 2012 "totals"
"incidence" "c3" 248 5580418 4.44411153429725 2012 "totals"
"incidence" "c4" 1449 5580418 25.9657968274061 2012 "totals"
"prevalence" "c1" 22773 5602523 406.477581618139 2013 "totals"
"prevalence" "c2" 3220 5602523 57.4741058626622 2013 "totals"
"prevalence" "c3" 4522 5602523 80.7136356245213 2013 "totals"
"prevalence" "c4" 26996 5602523 481.854335983984 2013 "totals"
"incidence" "c1" 1025 5602523 18.2953287295742 2013 "totals"
"incidence" "c2" 351 5602523 6.26503452105418 2013 "totals"
"incidence" "c3" 227 5602523 4.05174597230569 2013 "totals"
"incidence" "c4" 1412 5602523 25.2029308938134 2013 "totals"
"prevalence" "c1" 23657 5627146 420.408498375553 2014 "totals"
"prevalence" "c2" 3534 5627146 62.8027067362389 2014 "totals"
"prevalence" "c3" 4711 5627146 83.7191713170406 2014 "totals"
"prevalence" "c4" 28205 5627146 501.230997027623 2014 "totals"
"incidence" "c1" 1075 5627146 19.1038227904519 2014 "totals"
"incidence" "c2" 326 5627146 5.79334532994168 2014 "totals"
"incidence" "c3" 224 5627146 3.98070353959183 2014 "totals"
"incidence" "c4" 1469 5627146 26.1055959806268 2014 "totals"
"prevalence" "c1" 24624 5659640 435.08067650946 2015 "totals"
"prevalence" "c2" 3816 5659640 67.4247832017584 2015 "totals"
"prevalence" "c3" 4896 5659640 86.5072690135768 2015 "totals"
"prevalence" "c4" 29506 5659640 521.340579966217 2015 "totals"
"incidence" "c1" 1126 5659640 19.8952583556551 2015 "totals"
"incidence" "c2" 421 5659640 7.43863567294033 2015 "totals"
"incidence" "c3" 227 5659640 4.01085581415072 2015 "totals"
"incidence" "c4" 1606 5659640 28.3763631609078 2015 "totals"
"prevalence" "c1" 25579 5707129 448.193829156481 2016 "totals"
"prevalence" "c2" 4195 5707129 73.5045589472395 2016 "totals"
"prevalence" "c3" 5080 5707129 89.0114802030934 2016 "totals"
"prevalence" "c4" 30889 5707129 541.235356691604 2016 "totals"
"incidence" "c1" 1162 5707129 20.3604999992115 2016 "totals"
"incidence" "c2" 541 5707129 9.47937220273101 2016 "totals"
"incidence" "c3" 203 5707129 3.55695481913936 2016 "totals"
"incidence" "c4" 1677 5707129 29.3843016339739 2016 "totals"
"prevalence" "c1" 26589 5748561 462.533145251481 2017 "totals"
"prevalence" "c2" 4703 5748561 81.8117786346879 2017 "totals"
"prevalence" "c3" 5254 5748561 91.3967860826388 2017 "totals"
"prevalence" "c4" 32370 5748561 563.097442994864 2017 "totals"
"incidence" "c1" 1193 5748561 20.7530197557267 2017 "totals"
"incidence" "c2" 544 5748561 9.46323784334897 2017 "totals"
"incidence" "c3" 182 5748561 3.16600971964984 2017 "totals"
"incidence" "c4" 1766 5748561 30.7207316752836 2017 "totals"
