"age_group" "sex" "esp2013"
0 "female" 5000
5 "female" 5500
10 "female" 5500
15 "female" 5500
20 "female" 6000
25 "female" 6000
30 "female" 6500
35 "female" 7000
40 "female" 7000
45 "female" 7000
50 "female" 7000
55 "female" 6500
60 "female" 6000
65 "female" 5500
70 "female" 5000
75 "female" 4000
80 "female" 2500
85 "female" 1500
90 "female" 1000
0 "male" 5000
5 "male" 5500
10 "male" 5500
15 "male" 5500
20 "male" 6000
25 "male" 6000
30 "male" 6500
35 "male" 7000
40 "male" 7000
45 "male" 7000
50 "male" 7000
55 "male" 6500
60 "male" 6000
65 "male" 5500
70 "male" 5000
75 "male" 4000
80 "male" 2500
85 "male" 1500
90 "male" 1000
