"outcome","aggr_level","sex","grouping","year","count_n_patients","rate_n_patients","mean3y_count_n_patients","mean3y_rate_n_patients"
"m1","age","female","35 - 44","2004",17667,4394,NA,NA
"m1","age","female","35 - 44","2005",17894,4446,NA,NA
"m1","age","female","35 - 44","2006",18460,4595,NA,NA
"m1","age","female","35 - 44","2007",18288,4542,NA,NA
"m1","age","female","35 - 44","2008",19394,4801,NA,NA
"m1","age","female","35 - 44","2009",19686,4901,NA,NA
"m1","age","female","35 - 44","2010",19659,4931,NA,NA
"m1","age","female","35 - 44","2011",19834,5019,NA,NA
"m1","age","female","35 - 44","2012",19548,5054,NA,NA
"m1","age","female","35 - 44","2013",19253,5062,NA,NA
"m1","age","female","35 - 44","2014",19403,5144,NA,NA
"m1","age","female","35 - 44","2015",19172,5113,NA,NA
"m1","age","female","35 - 44","2016",18739,5031,NA,NA
"m1","age","female","45 - 54","2004",16710,4613,NA,NA
"m1","age","female","45 - 54","2005",16424,4538,NA,NA
"m1","age","female","45 - 54","2006",16950,4672,NA,NA
"m1","age","female","45 - 54","2007",16844,4611,NA,NA
"m1","age","female","45 - 54","2008",17631,4791,NA,NA
"m1","age","female","45 - 54","2009",17899,4800,NA,NA
"m1","age","female","45 - 54","2010",17630,4653,NA,NA
"m1","age","female","45 - 54","2011",18677,4842,NA,NA
"m1","age","female","45 - 54","2012",18818,4785,NA,NA
"m1","age","female","45 - 54","2013",19378,4864,NA,NA
"m1","age","female","45 - 54","2014",20021,4996,NA,NA
"m1","age","female","45 - 54","2015",19618,4878,NA,NA
"m1","age","female","45 - 54","2016",19601,4866,NA,NA
"m1","age","female","55 - 64","2004",21173,6092,NA,NA
"m1","age","female","55 - 64","2005",21096,5949,NA,NA
"m1","age","female","55 - 64","2006",21836,6057,NA,NA
"m1","age","female","55 - 64","2007",21452,5887,NA,NA
"m1","age","female","55 - 64","2008",21947,6003,NA,NA
"m1","age","female","55 - 64","2009",21206,5801,NA,NA
"m1","age","female","55 - 64","2010",20671,5701,NA,NA
"m1","age","female","55 - 64","2011",20447,5707,NA,NA
"m1","age","female","55 - 64","2012",19841,5613,NA,NA
"m1","age","female","55 - 64","2013",19264,5511,NA,NA
"m1","age","female","55 - 64","2014",19486,5596,NA,NA
"m1","age","female","55 - 64","2015",18631,5347,NA,NA
"m1","age","female","55 - 64","2016",18558,5303,NA,NA
"m1","age","female","65 - 74","2004",24617,10829,NA,NA
"m1","age","female","65 - 74","2005",23978,10412,NA,NA
"m1","age","female","65 - 74","2006",23967,10222,NA,NA
"m1","age","female","65 - 74","2007",23733,9920,NA,NA
"m1","age","female","65 - 74","2008",24119,9760,NA,NA
"m1","age","female","65 - 74","2009",23795,9246,NA,NA
"m1","age","female","65 - 74","2010",23848,8854,NA,NA
"m1","age","female","65 - 74","2011",24380,8638,NA,NA
"m1","age","female","65 - 74","2012",24615,8318,NA,NA
"m1","age","female","65 - 74","2013",24493,7962,NA,NA
"m1","age","female","65 - 74","2014",25195,7962,NA,NA
"m1","age","female","65 - 74","2015",24445,7556,NA,NA
"m1","age","female","65 - 74","2016",24099,7312,NA,NA
"m1","age","female","75 - 84","2004",32337,19396,NA,NA
"m1","age","female","75 - 84","2005",31043,18692,NA,NA
"m1","age","female","75 - 84","2006",29629,18114,NA,NA
"m1","age","female","75 - 84","2007",28143,17408,NA,NA
"m1","age","female","75 - 84","2008",27302,16997,NA,NA
"m1","age","female","75 - 84","2009",26208,16429,NA,NA
"m1","age","female","75 - 84","2010",25028,15735,NA,NA
"m1","age","female","75 - 84","2011",24596,15420,NA,NA
"m1","age","female","75 - 84","2012",23966,14877,NA,NA
"m1","age","female","75 - 84","2013",23330,14253,NA,NA
"m1","age","female","75 - 84","2014",23221,13881,NA,NA
"m1","age","female","75 - 84","2015",22778,13287,NA,NA
"m1","age","female","75 - 84","2016",22558,12774,NA,NA
"m1","age","female","85+","2004",19132,27456,NA,NA
"m1","age","female","85+","2005",18731,26781,NA,NA
"m1","age","female","85+","2006",19048,26370,NA,NA
"m1","age","female","85+","2007",18887,25617,NA,NA
"m1","age","female","85+","2008",18588,25027,NA,NA
"m1","age","female","85+","2009",18288,24318,NA,NA
"m1","age","female","85+","2010",18107,23846,NA,NA
"m1","age","female","85+","2011",17638,23044,NA,NA
"m1","age","female","85+","2012",17131,22192,NA,NA
"m1","age","female","85+","2013",16929,21736,NA,NA
"m1","age","female","85+","2014",16532,21144,NA,NA
"m1","age","female","85+","2015",16178,20532,NA,NA
"m1","age","female","85+","2016",15677,19855,NA,NA
"m1","age","male","35 - 44","2004",13057,3120,NA,NA
"m1","age","male","35 - 44","2005",13094,3129,NA,NA
"m1","age","male","35 - 44","2006",13441,3225,NA,NA
"m1","age","male","35 - 44","2007",13348,3199,NA,NA
"m1","age","male","35 - 44","2008",13953,3345,NA,NA
"m1","age","male","35 - 44","2009",13587,3283,NA,NA
"m1","age","male","35 - 44","2010",13516,3313,NA,NA
"m1","age","male","35 - 44","2011",13620,3385,NA,NA
"m1","age","male","35 - 44","2012",13497,3440,NA,NA
"m1","age","male","35 - 44","2013",13511,3513,NA,NA
"m1","age","male","35 - 44","2014",13571,3568,NA,NA
"m1","age","male","35 - 44","2015",12902,3411,NA,NA
"m1","age","male","35 - 44","2016",12666,3366,NA,NA
"m1","age","male","45 - 54","2004",15682,4246,NA,NA
"m1","age","male","45 - 54","2005",15402,4173,NA,NA
"m1","age","male","45 - 54","2006",15536,4194,NA,NA
"m1","age","male","45 - 54","2007",15305,4106,NA,NA
"m1","age","male","45 - 54","2008",15932,4235,NA,NA
"m1","age","male","45 - 54","2009",15845,4155,NA,NA
"m1","age","male","45 - 54","2010",16216,4178,NA,NA
"m1","age","male","45 - 54","2011",16367,4148,NA,NA
"m1","age","male","45 - 54","2012",16672,4142,NA,NA
"m1","age","male","45 - 54","2013",16896,4144,NA,NA
"m1","age","male","45 - 54","2014",17510,4270,NA,NA
"m1","age","male","45 - 54","2015",17152,4164,NA,NA
"m1","age","male","45 - 54","2016",16712,4054,NA,NA
"m1","age","male","55 - 64","2004",23538,6763,NA,NA
"m1","age","male","55 - 64","2005",23411,6605,NA,NA
"m1","age","male","55 - 64","2006",23868,6629,NA,NA
"m1","age","male","55 - 64","2007",23349,6416,NA,NA
"m1","age","male","55 - 64","2008",23782,6525,NA,NA
"m1","age","male","55 - 64","2009",23186,6361,NA,NA
"m1","age","male","55 - 64","2010",22464,6231,NA,NA
"m1","age","male","55 - 64","2011",22073,6207,NA,NA
"m1","age","male","55 - 64","2012",21085,6021,NA,NA
"m1","age","male","55 - 64","2013",20079,5800,NA,NA
"m1","age","male","55 - 64","2014",20542,5957,NA,NA
"m1","age","male","55 - 64","2015",19845,5744,NA,NA
"m1","age","male","55 - 64","2016",19686,5655,NA,NA
"m1","age","male","65 - 74","2004",25597,12663,NA,NA
"m1","age","male","65 - 74","2005",25158,12182,NA,NA
"m1","age","male","65 - 74","2006",25327,11957,NA,NA
"m1","age","male","65 - 74","2007",25125,11535,NA,NA
"m1","age","male","65 - 74","2008",25332,11152,NA,NA
"m1","age","male","65 - 74","2009",25157,10587,NA,NA
"m1","age","male","65 - 74","2010",25655,10247,NA,NA
"m1","age","male","65 - 74","2011",26362,9975,NA,NA
"m1","age","male","65 - 74","2012",26757,9604,NA,NA
"m1","age","male","65 - 74","2013",26925,9259,NA,NA
"m1","age","male","65 - 74","2014",27472,9169,NA,NA
"m1","age","male","65 - 74","2015",27076,8847,NA,NA
"m1","age","male","65 - 74","2016",26849,8625,NA,NA
