Kode	Tekst
K	Klassifikation af operationer
KA	Operationer på nervesystemet
KAA	Operationer på kranium og intrakranielle strukturer
KAAA	Diagnostiske intrakranielle operationer
KAAA00	Eksplorativ kraniotomi
KAAA10	Biopsi gennem kraniotomi
KAAA10A	Ultralydsvejledt intrakraniel biopsi gennem borehul
KAAA10B	Endoskopisk intrakraniel biopsi gennem borehul
KAAA20	Indlæggelse af intraventrikulært trykmålingsudstyr
KAAA25	Indlæggelse af epiduralt trykmålingsudstyr
KAAA27	Indlæggelse af intracerebralt trykmålingsudstyr
KAAA30	Indlæggelse af epidural elektrode
KAAA35	Indlæggelse af subdural elektrode
KAAA40	Indlæggelse af intracerebral elektrode
KAAA99	Anden diagnostisk intrakraniel operation
KAAB	Excisioner og destruktioner af intrakranielt patologisk væv
KAAB00	Excision af intrakranielt patologisk væv
KAAB10	Resektion af intrakranielt patologisk væv
KAAB20	Destruktion af intrakranielt patologisk væv
KAAB30	Fjernelse af intrakranielt spontant hæmatom
KAAB99	Anden excision eller destruktion af intrakranielt patologisk væv
KAAC	Operationer ved intrakranielt aneurisme og andre intrakranielle karoperationer
KAAC00	Ligatur af intrakranielt aneurisme
KAAC05	Proksimal ligatur af intrakranielt aneurisme
KAAC10	Vægforstærkning af intrakranielt aneurisme
KAAC15	Trapping af intrakranielt aneurisme
KAAC20	Intrakraniel karanastomose
KAAC30	Intrakraniel okklusion af karfistel
KAAC40	Excision af intrakraniel arteriovenøs misdannelse
KAAC45	Operation for vaskulær abnormitet i sinus cavernosus
KAAC99	Anden operation for intrakraniel vaskulær abnormitet
KAAD	Operationer ved kraniel og intrakraniel læsion
KAAD00	Fjernelse af epiduralt hæmatom
KAAD05	Fjernelse af akut subduralt hæmatom
KAAD10	Fjernelse af kronisk subduralt hæmatom
KAAD15	Fjernelse af intracerebralt traumatisk hæmatom
KAAD30	Revision af penetrerende kranielæsion
KAAD40	Revision af kraniefraktur
KAAD99	Anden operation ved kraniel eller intrakraniel læsion
KAAE	Kraniobasale operationer
KAAE00	Transsfenoidal eksploration
KAAE05	Transetmoidal excision eller resektion af intrakranielt patologisk væv
KAAE10	Transsfenoidal excision eller resektion af intrakranielt patologisk væv
KAAE15	Subfrontal medial excision eller resektion af intrakranielt patologisk væv
KAAE20	Transoral excision eller resektion af intrakranielt patologisk væv
KAAE25	Transcervikal excision eller resektion af intrakranielt patologisk væv
KAAE30	Translabyrintær excision eller resektion af intrakranielt patologisk væv
KAAE40	Transtemporal excision eller resektion af intrakranielt patologisk væv
KAAE45	Subtemporal excision eller resektion af intrakranielt patologisk væv
KAAE50	Zygomatikotemporal excision eller resektion af intrakranielt patologisk væv
KAAE55	Suboccipital retrosigmoidal excision eller resektion af intrakranielt patologisk væv
KAAE65	Transoccipital medial excision eller resektion af intrakranielt patologisk væv
KAAE70	Transkondylær excision eller resektion af intrakranielt patologisk væv
KAAE75	Transkondylær intrakraniel karoperation
KAAE99	Anden kraniobasal operation
KAAF	Shuntoperationer på hjerneventrikler og intrakranielle cyster
KAAF00	Ventrikulostomi
KAAF00A	Indlæggelse af eksternt dræn i lateral hjerneventrikel
KAAF05	Ventrikuloperitoneal shunt
KAAF10	Lumboperitoneal shunt
KAAF15	Ventrikuloatrial shunt
KAAF16	Ventrikulosinual shunt
KAAF17	Ventrikulosubgaleal shunt
KAAF20	Revision af shunt i hjerneventrikel
KAAF25	Fjernelse af shunt i hjerneventrikel
KAAF30	Indlæggelse af intraventrikulært injektionssystem
KAAF35	Indlæggelse af reservoir til intraventrikulær behandling
KAAF40	Shunt fra intrakraniel cyste til bughulen
KAAF45	Fenestrering af intrakraniel cyste
KAAF45A	Drænage af intrakraniel cyste gennem kraniostomi
