sex,age_group,year,count
male,35 - 44,2006,412678
male,45 - 54,2006,368907
male,55 - 64,2006,359438
male,65 - 74,2006,209862
male,75 - 84,2006,113628
male,85+,2006,30362
female,35 - 44,2006,399765
female,45 - 54,2006,362473
female,55 - 64,2006,360405
female,65 - 74,2006,232504
female,75 - 84,2006,163677
female,85+,2006,72919
male,35 - 44,2007,413498
male,45 - 54,2007,371085
male,55 - 64,2007,363357
male,65 - 74,2007,215868
male,75 - 84,2007,114040
male,85+,2007,31353
female,35 - 44,2007,400719
female,45 - 54,2007,364958
female,55 - 64,2007,364315
female,65 - 74,2007,237448
female,75 - 84,2007,161530
female,85+,2007,74499
male,35 - 44,2008,413747
male,45 - 54,2008,374419
male,55 - 64,2008,363979
male,65 - 74,2008,225189
male,75 - 84,2008,114945
male,85+,2008,32066
female,35 - 44,2008,402057
female,45 - 54,2008,367615
female,55 - 64,2008,365547
female,65 - 74,2008,245315
female,75 - 84,2008,160747
female,85+,2008,74778
male,35 - 44,2009,410800
male,45 - 54,2009,379432
male,55 - 64,2009,364029
male,65 - 74,2009,235605
male,75 - 84,2009,116296
male,85+,2009,32686
female,35 - 44,2009,399819
female,45 - 54,2009,372413
female,55 - 64,2009,365552
female,65 - 74,2009,255552
female,75 - 84,2009,159587
female,85+,2009,75770
male,35 - 44,2010,405115
male,45 - 54,2010,385894
male,55 - 64,2010,360077
male,65 - 74,2010,248309
male,75 - 84,2010,117896
male,85+,2010,33542
female,35 - 44,2010,396851
female,45 - 54,2010,378238
female,55 - 64,2010,362584
female,65 - 74,2010,267400
female,75 - 84,2010,159291
female,85+,2010,76421
male,35 - 44,2011,399702
male,45 - 54,2011,392150
male,55 - 64,2011,355125
male,65 - 74,2011,262250
male,75 - 84,2011,120161
male,85+,2011,34373
female,35 - 44,2011,393392
female,45 - 54,2011,384979
female,55 - 64,2011,358346
female,65 - 74,2011,280393
female,75 - 84,2011,159661
female,85+,2011,76943
male,35 - 44,2012,389671
male,45 - 54,2012,399613
male,55 - 64,2012,349601
male,65 - 74,2012,276428
male,75 - 84,2012,123291
male,85+,2012,35484
female,35 - 44,2012,384928
female,45 - 54,2012,392255
female,55 - 64,2012,353495
female,65 - 74,2012,294027
female,75 - 84,2012,161297
female,85+,2012,77557
male,35 - 44,2013,381978
male,45 - 54,2013,404520
male,55 - 64,2013,345379
male,65 - 74,2013,288496
male,75 - 84,2013,127086
male,85+,2013,36370
female,35 - 44,2013,378536
female,45 - 54,2013,397201
female,55 - 64,2013,349483
female,65 - 74,2013,305533
female,75 - 84,2013,164173
female,85+,2013,78143
male,35 - 44,2014,377852
male,45 - 54,2014,406637
male,55 - 64,2014,343865
male,65 - 74,2014,297234
male,75 - 84,2014,131511
male,85+,2014,37439
female,35 - 44,2014,375413
female,45 - 54,2014,399284
female,55 - 64,2014,348163
female,65 - 74,2014,314445
female,75 - 84,2014,167679
female,85+,2014,78426
