"sex","age_group","year","count"
"male","35 - 44",2000,396089
"male","45 - 54",2000,388027
"male","55 - 64",2000,295702
"male","65 - 74",2000,191166
"male","75 - 84",2000,110042
"male","85+",2000,27997
"female","35 - 44",2000,380747
"female","45 - 54",2000,379616
"female","55 - 64",2000,299568
"female","65 - 74",2000,222133
"female","75 - 84",2000,169428
"female","85+",2000,69636
"male","35 - 44",2001,402267
"male","45 - 54",2001,382445
"male","55 - 64",2001,310647
"male","65 - 74",2001,192059
"male","75 - 84",2001,110811
"male","85+",2001,28288
"female","35 - 44",2001,387165
"female","45 - 54",2001,374663
"female","55 - 64",2001,313036
"female","65 - 74",2001,220986
"female","75 - 84",2001,169555
"female","85+",2001,70129
"male","35 - 44",2002,409612
"male","45 - 54",2002,375874
"male","55 - 64",2002,325953
"male","65 - 74",2002,193882
"male","75 - 84",2002,111388
"male","85+",2002,28580
"female","35 - 44",2002,394460
"female","45 - 54",2002,369112
"female","55 - 64",2002,326902
"female","65 - 74",2002,221369
"female","75 - 84",2002,168956
"female","85+",2002,70409
"male","35 - 44",2003,413738
"male","45 - 54",2003,370862
"male","55 - 64",2003,338543
"male","65 - 74",2003,196733
"male","75 - 84",2003,111854
"male","85+",2003,28630
"female","35 - 44",2003,399137
"female","45 - 54",2003,364257
"female","55 - 64",2003,338627
"female","65 - 74",2003,223166
"female","75 - 84",2003,167808
"female","85+",2003,70160
"male","35 - 44",2004,415041
"male","45 - 54",2004,368416
"male","55 - 64",2004,347372
"male","65 - 74",2004,200222
"male","75 - 84",2004,112626
"male","85+",2004,29004
"female","35 - 44",2004,400539
"female","45 - 54",2004,362144
"female","55 - 64",2004,347410
"female","65 - 74",2004,225430
"female","75 - 84",2004,166836
"female","85+",2004,70460
"male","35 - 44",2005,414848
"male","45 - 54",2005,367947
"male","55 - 64",2005,353895
"male","65 - 74",2005,204647
"male","75 - 84",2005,113328
"male","85+",2005,29272
"female","35 - 44",2005,400814
"female","45 - 54",2005,361747
"female","55 - 64",2005,354488
"female","65 - 74",2005,228413
"female","75 - 84",2005,165994
"female","85+",2005,70849
"male","35 - 44",2006,412983
"male","45 - 54",2006,369041
"male","55 - 64",2006,359489
"male","65 - 74",2006,209882
"male","75 - 84",2006,113640
"male","85+",2006,30368
"female","35 - 44",2006,399954
"female","45 - 54",2006,362515
"female","55 - 64",2006,360432
"female","65 - 74",2006,232512
"female","75 - 84",2006,163699
"female","85+",2006,72926
"male","35 - 44",2007,413492
"male","45 - 54",2007,371084
"male","55 - 64",2007,363352
"male","65 - 74",2007,215868
"male","75 - 84",2007,114041
"male","85+",2007,31354
"female","35 - 44",2007,400714
"female","45 - 54",2007,364955
"female","55 - 64",2007,364313
"female","65 - 74",2007,237449
"female","75 - 84",2007,161532
"female","85+",2007,74501
"male","35 - 44",2008,413748
"male","45 - 54",2008,374421
"male","55 - 64",2008,363980
"male","65 - 74",2008,225190
"male","75 - 84",2008,114945
"male","85+",2008,32066
"female","35 - 44",2008,402057
"female","45 - 54",2008,367618
"female","55 - 64",2008,365547
"female","65 - 74",2008,245315
"female","75 - 84",2008,160747
"female","85+",2008,74778
"male","35 - 44",2009,410800
"male","45 - 54",2009,379432
"male","55 - 64",2009,364029
"male","65 - 74",2009,235605
"male","75 - 84",2009,116296
"male","85+",2009,32686
"female","35 - 44",2009,399819
"female","45 - 54",2009,372413
"female","55 - 64",2009,365552
"female","65 - 74",2009,255552
"female","75 - 84",2009,159587
"female","85+",2009,75770
"male","35 - 44",2010,405115
"male","45 - 54",2010,385894
"male","55 - 64",2010,360077
"male","65 - 74",2010,248309
"male","75 - 84",2010,117896
"male","85+",2010,33542
"female","35 - 44",2010,396851
"female","45 - 54",2010,378238
"female","55 - 64",2010,362584
"female","65 - 74",2010,267400
"female","75 - 84",2010,159291
