"year" "sex" "age_group" "N"
"2004" "female" "35 - 44" 400363
"2004" "male" "35 - 44" 414795
"2004" "male" "85+" 29002
"2004" "female" "75 - 84" 166859
"2004" "female" "85+" 70477
"2004" "male" "75 - 84" 112692
"2004" "female" "55 - 64" 347476
"2004" "male" "45 - 54" 368502
"2004" "male" "55 - 64" 347552
"2004" "female" "45 - 54" 362154
"2004" "male" "65 - 74" 200364
"2004" "female" "65 - 74" 225485
"2005" "female" "35 - 44" 400636
"2005" "male" "35 - 44" 414598
"2005" "male" "85+" 29268
"2005" "female" "75 - 84" 166006
"2005" "female" "85+" 70862
"2005" "male" "75 - 84" 113374
"2005" "female" "55 - 64" 354519
"2005" "male" "45 - 54" 368020
"2005" "male" "55 - 64" 354038
"2005" "female" "45 - 54" 361776
"2005" "male" "65 - 74" 204785
"2005" "female" "65 - 74" 228467
"2006" "female" "35 - 44" 399726
"2006" "male" "35 - 44" 412685
"2006" "male" "85+" 30367
"2006" "female" "75 - 84" 163708
"2006" "female" "85+" 72936
"2006" "male" "75 - 84" 113688
"2006" "female" "55 - 64" 360488
"2006" "male" "45 - 54" 369017
"2006" "male" "55 - 64" 359618
"2006" "female" "45 - 54" 362544
"2006" "male" "65 - 74" 210026
"2006" "female" "65 - 74" 232576
"2007" "female" "35 - 44" 400482
"2007" "male" "35 - 44" 413196
"2007" "male" "85+" 31356
"2007" "female" "85+" 74495
"2007" "female" "65 - 74" 237488
"2007" "male" "45 - 54" 371029
"2007" "male" "65 - 74" 215981
"2007" "female" "75 - 84" 161546
"2007" "female" "45 - 54" 364971
"2007" "male" "75 - 84" 114083
"2007" "male" "55 - 64" 363470
"2007" "female" "55 - 64" 364352
"2008" "female" "35 - 44" 401692
"2008" "male" "35 - 44" 413238
"2008" "female" "85+" 74782
"2008" "male" "85+" 32065
"2008" "female" "65 - 74" 245335
"2008" "male" "45 - 54" 374180
"2008" "male" "65 - 74" 225286
"2008" "female" "75 - 84" 160750
"2008" "female" "45 - 54" 367592
"2008" "male" "75 - 84" 114981
"2008" "male" "55 - 64" 364019
"2008" "female" "55 - 64" 365576
"2009" "female" "35 - 44" 399426
"2009" "male" "35 - 44" 410005
"2009" "female" "85+" 75764
"2009" "male" "85+" 32683
"2009" "female" "65 - 74" 255558
"2009" "male" "55 - 64" 364044
"2009" "male" "65 - 74" 235689
"2009" "female" "75 - 84" 159574
"2009" "female" "55 - 64" 365535
"2009" "male" "75 - 84" 116308
"2009" "male" "45 - 54" 379063
"2009" "female" "45 - 54" 372336
"2010" "female" "35 - 44" 396408
"2010" "male" "35 - 44" 404095
"2010" "female" "85+" 76414
"2010" "male" "85+" 33540
"2010" "female" "65 - 74" 267418
"2010" "male" "55 - 64" 360025
"2010" "male" "65 - 74" 248355
"2010" "female" "75 - 84" 159279
"2010" "female" "55 - 64" 362544
"2010" "male" "75 - 84" 117908
"2010" "male" "45 - 54" 385443
"2010" "female" "45 - 54" 378131
"2011" "female" "35 - 44" 392827
"2011" "male" "35 - 44" 398548
"2011" "female" "85+" 76934
"2011" "male" "85+" 34374
"2011" "female" "65 - 74" 280407
"2011" "male" "55 - 64" 355002
"2011" "male" "65 - 74" 262279
"2011" "female" "55 - 64" 358288
"2011" "male" "75 - 84" 120164
"2011" "female" "75 - 84" 159642
"2011" "male" "45 - 54" 391577
"2011" "female" "45 - 54" 384828
"2012" "female" "35 - 44" 384442
"2012" "male" "35 - 44" 388838
"2012" "female" "85+" 77555
"2012" "male" "85+" 35483
"2012" "female" "65 - 74" 294045
"2012" "male" "55 - 64" 349494
"2012" "male" "65 - 74" 276452
"2012" "female" "55 - 64" 353452
"2012" "female" "45 - 54" 392164
"2012" "male" "45 - 54" 399178
"2012" "female" "75 - 84" 161272
"2012" "male" "75 - 84" 123297
"2013" "female" "35 - 44" 378084
"2013" "male" "35 - 44" 381220
"2013" "female" "85+" 78140
"2013" "male" "85+" 36371
"2013" "female" "45 - 54" 397100
"2013" "male" "45 - 54" 404103
"2013" "female" "65 - 74" 305543
"2013" "male" "55 - 64" 345257
"2013" "male" "65 - 74" 288512
"2013" "female" "55 - 64" 349472
"2013" "female" "75 - 84" 164155
"2013" "male" "75 - 84" 127099
"2014" "female" "45 - 54" 399172
"2014" "male" "45 - 54" 406266
"2014" "female" "85+" 78415
"2014" "male" "85+" 37440
"2014" "female" "65 - 74" 314456
"2014" "male" "55 - 64" 343746
"2014" "male" "65 - 74" 297241
"2014" "female" "55 - 64" 348153
"2014" "male" "75 - 84" 131506
"2014" "female" "75 - 84" 167660
"2014" "male" "35 - 44" 377146
"2014" "female" "35 - 44" 375001
"2015" "female" "45 - 54" 400735
"2015" "male" "45 - 54" 408196
"2015" "female" "85+" 78903
"2015" "male" "85+" 38577
"2015" "female" "65 - 74" 321594
"2015" "male" "55 - 64" 344315
"2015" "male" "65 - 74" 303771
"2015" "female" "55 - 64" 348491
"2015" "male" "75 - 84" 136517
"2015" "female" "75 - 84" 171815
"2015" "male" "35 - 44" 375549
"2015" "female" "35 - 44" 373063
"2016" "female" "45 - 54" 401364
"2016" "male" "45 - 54" 408524
"2016" "female" "85+" 79029
"2016" "male" "85+" 39370
"2016" "female" "65 - 74" 327639
"2016" "male" "55 - 64" 346720
"2016" "male" "65 - 74" 309208
"2016" "female" "55 - 64" 349932
"2016" "male" "75 - 84" 142218
"2016" "female" "75 - 84" 177033
"2016" "male" "35 - 44" 373906
"2016" "female" "35 - 44" 370705
