"year" "sex" "grouping" "count"
"2004" "female" "35 - 44" 402066
"2005" "female" "35 - 44" 402497
"2006" "female" "35 - 44" 401767
"2007" "female" "35 - 44" 402612
"2008" "female" "35 - 44" 403943
"2009" "female" "35 - 44" 401647
"2010" "female" "35 - 44" 398702
"2011" "female" "35 - 44" 395161
"2012" "female" "35 - 44" 386755
"2013" "female" "35 - 44" 380350
"2014" "female" "35 - 44" 377192
"2015" "female" "35 - 44" 374958
"2016" "female" "35 - 44" 372473
"2004" "female" "45 - 54" 362263
"2005" "female" "45 - 54" 361886
"2006" "female" "45 - 54" 362766
"2007" "female" "45 - 54" 365270
"2008" "female" "45 - 54" 368009
"2009" "female" "45 - 54" 372874
"2010" "female" "45 - 54" 378858
"2011" "female" "45 - 54" 385715
"2012" "female" "45 - 54" 393264
"2013" "female" "45 - 54" 398400
"2014" "female" "45 - 54" 400702
"2015" "female" "45 - 54" 402187
"2016" "female" "45 - 54" 402817
"2004" "female" "55 - 64" 347579
"2005" "female" "55 - 64" 354595
"2006" "female" "55 - 64" 360530
"2007" "female" "55 - 64" 364401
"2008" "female" "55 - 64" 365602
"2009" "female" "55 - 64" 365568
"2010" "female" "55 - 64" 362571
"2011" "female" "55 - 64" 358301
"2012" "female" "55 - 64" 353488
"2013" "female" "55 - 64" 349534
"2014" "female" "55 - 64" 348236
"2015" "female" "55 - 64" 348459
"2016" "female" "55 - 64" 349958
"2004" "female" "65 - 74" 227332
"2005" "female" "65 - 74" 230296
"2006" "female" "65 - 74" 234454
"2007" "female" "65 - 74" 239245
"2008" "female" "65 - 74" 247126
"2009" "female" "65 - 74" 257360
"2010" "female" "65 - 74" 269353
"2011" "female" "65 - 74" 282250
"2012" "female" "65 - 74" 295910
"2013" "female" "65 - 74" 307607
"2014" "female" "65 - 74" 316453
"2015" "female" "65 - 74" 323520
"2016" "female" "65 - 74" 329585
"2004" "female" "75 - 84" 166716
"2005" "female" "75 - 84" 166076
"2006" "female" "75 - 84" 163570
"2007" "female" "75 - 84" 161664
"2008" "female" "75 - 84" 160624
"2009" "female" "75 - 84" 159525
"2010" "female" "75 - 84" 159061
"2011" "female" "75 - 84" 159502
"2012" "female" "75 - 84" 161099
"2013" "female" "75 - 84" 163681
"2014" "female" "75 - 84" 167290
"2015" "female" "75 - 84" 171432
"2016" "female" "75 - 84" 176596
"2004" "female" "85+" 69683
"2005" "female" "85+" 69941
"2006" "female" "85+" 72234
"2007" "female" "85+" 73729
"2008" "female" "85+" 74273
"2009" "female" "85+" 75204
"2010" "female" "85+" 75934
"2011" "female" "85+" 76541
"2012" "female" "85+" 77196
"2013" "female" "85+" 77886
"2014" "female" "85+" 78188
"2015" "female" "85+" 78795
"2016" "female" "85+" 78956
"2004" "male" "35 - 44" 418465
"2005" "male" "35 - 44" 418466
"2006" "male" "35 - 44" 416724
"2007" "male" "35 - 44" 417229
"2008" "male" "35 - 44" 417192
"2009" "male" "35 - 44" 413911
"2010" "male" "35 - 44" 407967
"2011" "male" "35 - 44" 402308
"2012" "male" "35 - 44" 392389
"2013" "male" "35 - 44" 384604
"2014" "male" "35 - 44" 380365
"2015" "male" "35 - 44" 378269
"2016" "male" "35 - 44" 376310
"2004" "male" "45 - 54" 369344
"2005" "male" "45 - 54" 369107
"2006" "male" "45 - 54" 370405
"2007" "male" "45 - 54" 372747
"2008" "male" "45 - 54" 376161
"2009" "male" "45 - 54" 381311
"2010" "male" "45 - 54" 388107
"2011" "male" "45 - 54" 394580
"2012" "male" "45 - 54" 402527
"2013" "male" "45 - 54" 407689
"2014" "male" "45 - 54" 410102
"2015" "male" "45 - 54" 411922
"2016" "male" "45 - 54" 412189
"2004" "male" "55 - 64" 348019
"2005" "male" "55 - 64" 354430
"2006" "male" "55 - 64" 360061
"2007" "male" "55 - 64" 363905
"2008" "male" "55 - 64" 364479
"2009" "male" "55 - 64" 364497
"2010" "male" "55 - 64" 360539
"2011" "male" "55 - 64" 355616
"2012" "male" "55 - 64" 350217
"2013" "male" "55 - 64" 346197
"2014" "male" "55 - 64" 344844
"2015" "male" "55 - 64" 345518
"2016" "male" "55 - 64" 348122
"2004" "male" "65 - 74" 202137
"2005" "male" "65 - 74" 206520
"2006" "male" "65 - 74" 211812
"2007" "male" "65 - 74" 217809
"2008" "male" "65 - 74" 227146
"2009" "male" "65 - 74" 237628
"2010" "male" "65 - 74" 250354
"2011" "male" "65 - 74" 264283
"2012" "male" "65 - 74" 278592
"2013" "male" "65 - 74" 290784
"2014" "male" "65 - 74" 299606
"2015" "male" "65 - 74" 306045
"2016" "male" "65 - 74" 311303
"2004" "male" "75 - 84" 112511
"2005" "male" "75 - 84" 113422
"2006" "male" "75 - 84" 113633
"2007" "male" "75 - 84" 114033
"2008" "male" "75 - 84" 114971
"2009" "male" "75 - 84" 116182
"2010" "male" "75 - 84" 117857
"2011" "male" "75 - 84" 120125
"2012" "male" "75 - 84" 123289
"2013" "male" "75 - 84" 126893
"2014" "male" "75 - 84" 131300
"2015" "male" "75 - 84" 136370
"2016" "male" "75 - 84" 142262
"2004" "male" "85+" 28675
"2005" "male" "85+" 28888
"2006" "male" "85+" 30140
"2007" "male" "85+" 31205
"2008" "male" "85+" 31945
"2009" "male" "85+" 32695
"2010" "male" "85+" 33555
"2011" "male" "85+" 34512
"2012" "male" "85+" 35597
"2013" "male" "85+" 36651
"2014" "male" "85+" 37748
"2015" "male" "85+" 38985
"2016" "male" "85+" 39862
