"";"year";"Uddannelse";"female";"male"
"1";"2006";"Grundskole";1607;2124
"2";"2006";"Gymnasial / erhvervsfaglig udd.";1365;1930
"3";"2006";"Kort / Mellemlang videregående udd.";1180;1720
"4";"2006";"Lang videregående udd.";1066;1586
"5";"2006";"Uoplyst";1545;2088
"6";"2007";"Grundskole";1590;2088
"7";"2007";"Gymnasial / erhvervsfaglig udd.";1338;1868
"8";"2007";"Kort / Mellemlang videregående udd.";1170;1675
"9";"2007";"Lang videregående udd.";1025;1554
"10";"2007";"Uoplyst";1485;2020
"11";"2008";"Grundskole";1568;2059
"12";"2008";"Gymnasial / erhvervsfaglig udd.";1318;1838
"13";"2008";"Kort / Mellemlang videregående udd.";1170;1662
"14";"2008";"Lang videregående udd.";986;1499
"15";"2008";"Uoplyst";1433;1926
"16";"2009";"Grundskole";1559;2033
"17";"2009";"Gymnasial / erhvervsfaglig udd.";1301;1807
"18";"2009";"Kort / Mellemlang videregående udd.";1157;1606
"19";"2009";"Lang videregående udd.";1014;1480
"20";"2009";"Uoplyst";1377;1850
"21";"2010";"Grundskole";1575;2048
"22";"2010";"Gymnasial / erhvervsfaglig udd.";1306;1817
"23";"2010";"Kort / Mellemlang videregående udd.";1162;1622
"24";"2010";"Lang videregående udd.";1074;1494
"25";"2010";"Uoplyst";1403;1912
"26";"2011";"Grundskole";1600;2074
"27";"2011";"Gymnasial / erhvervsfaglig udd.";1329;1834
"28";"2011";"Kort / Mellemlang videregående udd.";1177;1635
"29";"2011";"Lang videregående udd.";1084;1507
"30";"2011";"Uoplyst";1349;1966
"31";"2012";"Grundskole";1601;2098
"32";"2012";"Gymnasial / erhvervsfaglig udd.";1337;1851
"33";"2012";"Kort / Mellemlang videregående udd.";1175;1655
"34";"2012";"Lang videregående udd.";1075;1515
"35";"2012";"Uoplyst";1379;2028
"36";"2013";"Grundskole";1583;2081
"37";"2013";"Gymnasial / erhvervsfaglig udd.";1332;1852
"38";"2013";"Kort / Mellemlang videregående udd.";1162;1637
"39";"2013";"Lang videregående udd.";1026;1483
"40";"2013";"Uoplyst";1356;1969
"41";"2014";"Grundskole";1564;2057
"42";"2014";"Gymnasial / erhvervsfaglig udd.";1302;1821
"43";"2014";"Kort / Mellemlang videregående udd.";1130;1627
"44";"2014";"Lang videregående udd.";1002;1480
"45";"2014";"Uoplyst";1417;1962
"46";"2015";"Grundskole";1557;2053
"47";"2015";"Gymnasial / erhvervsfaglig udd.";1279;1812
"48";"2015";"Kort / Mellemlang videregående udd.";1116;1616
"49";"2015";"Lang videregående udd.";960;1453
"50";"2015";"Uoplyst";1374;1882
"51";"2016";"Grundskole";1523;2040
"52";"2016";"Gymnasial / erhvervsfaglig udd.";1251;1801
"53";"2016";"Kort / Mellemlang videregående udd.";1088;1615
"54";"2016";"Lang videregående udd.";934;1441
"55";"2016";"Uoplyst";1357;1881
"56";"2017";"Grundskole";1522;2052
"57";"2017";"Gymnasial / erhvervsfaglig udd.";1247;1812
"58";"2017";"Kort / Mellemlang videregående udd.";1062;1600
"59";"2017";"Lang videregående udd.";913;1436
"60";"2017";"Uoplyst";1313;1855
"61";"2018";"Grundskole";1467;1995
"62";"2018";"Gymnasial / erhvervsfaglig udd.";1201;1770
"63";"2018";"Kort / Mellemlang videregående udd.";1014;1564
"64";"2018";"Lang videregående udd.";858;1414
"65";"2018";"Uoplyst";1303;1862
