opr_land,country_dk,country_en,group_dk,group_en
0,Uoplyst (1)                                 ,Unknown  (1),andre,other
5001,Uoplyst (2)                              ,Unknown  (2),andre,other
5100,Danmark,Denmark                                  ,danmark,denmark
5101,Grønland                                 ,Greenland,danmark,denmark
5102,Udlandet uoplyst                         ,"Unknown, not Denmark",andre,other
5103,Statsløs                                 ,Stateless,andre,other
5104,Finland                                  ,Finland                                  ,vestlige,west
5105,"Island, ligeret dansk                    ",Island ,vestlige,west
5106,Island                                   ,Island                                   ,vestlige,west
5107,Liechtenstein                            ,Liechtenstein                            ,vestlige,west
5108,Luxembourg                               ,Luxembourg                               ,vestlige,west
5109,Monaco                                   ,Monaco                                   ,vestlige,west
5110,Norge                                    ,Norway,vestlige,west
5114,Europa uoplyst                           ,"Europe, unknown",vestlige,west
5115,Kongelig                                 ,Kongelig                                 ,danmark,denmark
5120,Sverige                                  ,Sweden,vestlige,west
5122,Albanien                                 ,Albania,vestlige,west
5124,Andorra                                  ,Andorra                                  ,vestlige,west
5126,Belgien                                  ,Belgium                               ,vestlige,west
5128,Bulgarien                                ,Bulgaria,vestlige,west
5129,Tjekkoslovakiet                          ,Czecholslovakia,vestlige,west
5130,Frankrig                                 ,France,vestlige,west
5134,Grækenland                               ,Greece,vestlige,west
5140,Nederlandene                             ,Netherlands,vestlige,west
5142,Irland                                   ,Ireland,vestlige,west
5150,Italien                                  ,Italy,vestlige,west
5151,Serbien og Montenegro                    ,Serbien og Montenegro                    ,vestlige,west
5152,Jugoslavien                              ,Yugoslavia,vestlige,west
5153,Malta                                    ,Malta                                    ,vestlige,west
5154,Polen                                    ,Poland,vestlige,west
5156,Portugal                                 ,Portugal                                 ,vestlige,west
5158,Rumænien                                 ,Romania,vestlige,west
5159,San Marino                               ,San Marino                               ,vestlige,west
5160,Schweiz                                  ,Switzerland,vestlige,west
5162,Sovjetunionen                            ,U.S.S.R.,vestlige,west
5164,Spanien                                  ,Spain,vestlige,west
5170,Storbritannien                           ,U.K.,vestlige,west
5172,Tyrkiet                                  ,Turkey,mellemøstlige / nordafrikanske,middle east / north africa
5174,Ungarn                                   ,Hungry,vestlige,west
5176,Vatikanstaten                            ,The Vatican,vestlige,west
5180,Tyskland                                 ,Germany,vestlige,west
5182,Østrig                                   ,Austria,vestlige,west
5199,Europa uoplyst                           ,"Europe, unknown",vestlige,west
5202,Algeriet                                 ,Algeria,mellemøstlige / nordafrikanske,middle east / north africa
5204,Angola                                   ,Angola                                   ,andre,other
5207,Botswana                                 ,Botswana                                 ,andre,other
5213,Burundi                                  ,Burundi                                  ,andre,other
5214,Etiopien                                 ,Ethiopia,andre,other
5215,Comorerne                                ,Comorerne                                ,andre,other
5216,Eritrea                                  ,Eritrea                                  ,andre,other
5222,Gambia                                   ,Gambia                                   ,andre,other
5228,Ghana                                    ,Ghana                                    ,andre,other
5230,Ækvatorialguinea                         ,Equitorial Guinea,andre,other
5231,Guinea-Bissau                            ,Guinea-Bissau                            ,andre,other
5232,Guinea                                   ,Guinea                                   ,andre,other
5233,Kap Verde                                ,Cape Verde                                ,andre,other
5234,Kenya                                    ,Kenya                                    ,andre,other
5235,Lesotho                                  ,Lesotho                                  ,andre,other
5236,Liberia                                  ,Liberia                                  ,andre,other
5238,Libyen                                   ,Libyen                                   ,mellemøstlige / nordafrikanske,middle east / north africa
5240,Mozambique                               ,Mozambique                               ,andre,other
5242,Madagaskar                               ,Madagaskar                               ,andre,other
5243,Mali                                     ,Mali                                     ,andre,other
5244,Marokko                                  ,Morocco,mellemøstlige / nordafrikanske,middle east / north africa
5245,Mauritius                                ,Mauritius                                ,andre,other
5246,Nigeria                                  ,Nigeria                                  ,andre,other
5247,Namibia                                  ,Namibia                                  ,andre,other
5248,Marshalløerne                            ,Marshalløerne                            ,andre,other
5255,Sierra Leone                             ,Sierra Leone                             ,andre,other
5258,Sudan                                    ,Sudan                                    ,mellemøstlige / nordafrikanske,middle east / north africa
5259,Swaziland                                ,Swaziland                                ,andre,other
5260,Sydsudan                                 ,South Sudan                                ,andre,other
5262,Sydafrika                                ,South Africa,andre,other
5266,Tanzania                                 ,Tanzania,andre,other
5268,Tunesien                                 ,Tunisia,mellemøstlige / nordafrikanske,middle east / north africa
5269,Uganda                                   ,Uganda                                   ,andre,other
5272,Egypten                                  ,Egypt,mellemøstlige / nordafrikanske,middle east / north africa
5273,Tuvalu                                   ,Tuvalu                                   ,andre,other
5274,Kiribati                                 ,Kiribati                                 ,andre,other
5275,Vanuatu                                  ,Vanuatu                                  ,andre,other
5276,Centralafrikanske Republik               ,Central African Republic,andre,other
5277,Cameroun                                 ,Cameroun                                 ,andre,other
5278,"Congo, Demokratiske Republik             ",Congo (DRC)             ,andre,other
5279,"Congo, Republikken                       ","Congo, The Republic",andre,other
5281,Benin                                    ,Benin                                    ,andre,other
5282,Elfenbenskysten                          ,Cote d'Ivoire,andre,other
5283,Gabon                                    ,Gabon                                    ,andre,other
5284,Mauretanien                              ,Mauretanien                              ,andre,other
5285,Niger                                    ,Niger                                    ,andre,other
5287,Rwanda                                   ,Rwanda                                   ,andre,other
5288,Senegal                                  ,Senegal                                  ,andre,other
5289,Somalia                                  ,Somalia                                  ,andre,other
5292,Tchad                                    ,Chad,andre,other
5293,Togo                                     ,Togo                                     ,andre,other
5294,Burkina Faso                             ,Burkina Faso                             ,andre,other
5295,Zimbabwe                                 ,Zimbabwe                                 ,andre,other
5296,Zambia                                   ,Zambia                                   ,andre,other
5297,Malawi                                   ,Malawi                                   ,andre,other
5298,Seychellerne                             ,Seychellerne                             ,andre,other
5299,Afrika uoplyst                           ,Africa - unknown,andre,other
5302,Argentina                                ,Argentina                                ,andre,other
5303,Bahamas                                  ,Bahamas                                  ,andre,other
5304,Bolivia                                  ,Bolivia                                  ,andre,other
5305,Barbados                                 ,Barbados                                 ,andre,other
5306,Brasilien                                ,Brasil,andre,other
5308,Guyana                                   ,Guyana                                   ,andre,other
5309,Antigua og Barbuda                       ,Antigua og Barbuda                       ,andre,other
5310,Nauru                                    ,Nauru                                    ,andre,other
